url,title,description,bedrooms,bathrooms,floor_area_sqm,street_address,city,region,latitude,longitude,amenities,price,lot_area_sqm,property_type_raw
https://www.lamudi.com.ph/property/41032-73-25ce0a3da56e-2830-19e6a3c-b207-7ee3,Condo For Sale in Lahug,"SHANG BAUHINIA RESIDENCES - 
Sanctuary of Luxury, Wellness and Exclusivity

📍Offers Luxury 3 Bedroom Signature Unit inclusive of 2 Parking Slots

•Cebu’s Most Exquisite of Modern Luxury Living with its World Class Amenities.

•Redefining the skyline of Cebu with its iconic, record-setting form, Shang Bauhinia Residences heralds the arrival of a new standard in luxury living rooted in a deep heritage for craftsmanship and hospitality. 

• With its lush greenery, meticulously maintained landscapes, and proximity to the exclusive Cebu Country Club, Bauhinia Drive is a neighborhood and a community that exudes quiet luxury.

📍Location: Gov. Cuenco Ave. corner Bauhinia Drive, Brgy. Kasambagan, Cebu City

Unit Details: 
• 3 Bedroom Signature Unit
• Living Area
• Bed Area
• Dining Area
• Kitchen w/ Countertops & Cabinets
• Toilet & Bathroom
• Floor Area: 211.79 sqm.

AMENITIES: 
• Gym & Wellness Zone
• Library
• Tropical Pool
• Cinema
• Garden and Cabanas
• Al Fresco Ballroom Terrace
• The Bauhinia Ballroom
• Kids Playroom
• Private Entertainment Rooms
• Outdoor Playgrounds
• The Garden & Cabanas
• Al Fresco Terrace
• Outdoor Lounge Spaces
• Kids Pool
• Lounge Spaces
• Tropical Pool
• Jacuzzis
• Changing Room & Cold Plunge
• Family Game Room
• Multi-purpose Court

SKY LOUNGE AMENITIES:
(Exlcusive for Signature Units)
📍Rooftop Cabanas
📍Rooftop Pool
📍Lounge Spaces
📍Gym
📍Yoga/Pilates Room
📍Massage Room
📍Changing Rooms & Sauna
📍Shared Workspace
📍Private Entertainment Rooms

Indoor and outdoor recreation spaces designed for the whole family, featuring play areas, a game room, a multi-function court, and more.

Centrally located condominiums like Shang Bauhinia Residences attract tenants and buyers seeking comfort, efficiency, and long-term property value in a dynamic urban environment.

Central living in Cebu offers convenience, lifestyle quality, and strong investment potential.
Walkability, access to essential services, green spaces, and vibrant community amenities reduce daily stress while enhancing well-being. It enhances lifestyle quality, efficiency, and property value. Easy access to business hubs, dining, culture, and urban amenities keeps daily routines simple and organized.


Total Contract Price: Php 86,113,282.08
Reservation Fee: Php 250,000


For Reservation, Site Viewing & Assistance
👤 Jerson S. Rejano | YDH Realty Services Inc.
📄 PRC Res. #81 Series of 2024
📄 DHSUD R7 No. A-8/2-1250
📱 Smart/Viber: 0947-867-----
📱 TM/WhatsApp: 0905-739-----
Under Licensed Real Estate Broker",4.0,3.0,211.0,"MLD Building, Governor Mariano Cuenco Avenue corner Paseo Saturnino Street, Kasambagan, Cebu City, Cebu, Central Visayas, PHL",Cebu,Cebu,10.32962093,123.90970479,"Swimming pool, 24 hours security, Air conditioning, Balcony, Built-in wardrobe, Garage, Cctv, Concierge, Equipped kitchen, Electricity, Fire alarm, Fire exits, Garden, Green area, Grill, Guardhouse, Gym, Integral kitchen, Internet, Jacuzzi, Library, Lift, Multipurpose room, Office room, Panoramic view, Roof garden, Sauna, Security, Service room, Tennis court, Smoke detector, Water tank, Water, Wifi, Partly furnished",86113282,,Accommodation | condo | Luxury 3 Bedroom Signature Unit in Shang Bauhinia Residences Banilad
https://www.lamudi.com.ph/property/41032-73-3d93ae44a58e-db5a-19e7a36-996f-7260,Condo For Sale in Lahug,"Own a 2 Storey Condovision Unit and get 250K Gift Voucher worth of Appliances🤩

~A Spacious Home inside a Condominium w/ own car garage which is exclusive only to a small community. 

📍 Located across Golden Cowrie Lahug
📍Only 5 minutes walking distance to Cebu IT Park
📍Also Available 1 BR Unit, Studio Unit, Maisonette Unit and Garden Unit

Project: BE Residences Lahug
~ St. Lawrence Street, Apas, Cebu City

Unit Features:
✔️2 Storey Condovision Unit
✔️ Floor Area: 154.69 sqm. 
✔️ Total of Bedrooms
✔️ Total of 3 Toilet & Bath
✔️ Spacious Master Bedroom w/ walk-in
closet and own toilet & bath
✔️ Living, Dining & Kitchen Area
✔️ Spacious Terrace
✔️ Own car garage

🌴 PREMIUM AMENITIES 
 Lap Pool & Kiddie Pool
Fitness Gym
Hot & Steam Sauna
Function Rooms
Poolside Lounging Areas
Poolside Bar
Tropical Landscaping

🏙️ BUILDING FEATURES
Residential Lobby
Commercial Area
24/7 Security & CCTV
Concierge Services
Standby Generators
WiFi Amenity Areas
Day Care Center & Clinic
Taxi Service & More!

📍 Nearby Establishments: 
Cebu IT Park – 1.1 km
Ayala Center Cebu – 2.3 km
Cebu Business Park – 2.2 km
UP Cebu – 1.8 km
JY Square Mall – 800 m
1.8 km    UP Cebu
2.2 km    Cebu Business Park
2.3 km    Ayala Mall
2.6 km    Perpetual Succour Hospital 

Be Residences is an 20-storey structure that will rise on Lawrence Street in Barangay Lahug, Cebu City. The first residential condominium project of Benedict Ventures. Be Residences is located right beside Cebu I.T. Park. It has four home styles: condovision, maisonettes, gardens suites, and studio to two-bedroom flats. 


Total Contract Price: ₱ 29,729,000
Reservation Fee: ₱ 150,000


📩 Message now for unit availability, site viewing, and complete details!

👤 Jerson S. Rejano
📄 PRC Res. #81 Series of 2024
📄 DHSUD R7 No. A-8/2-1250
📱 Smart/Viber: 0947-867-----
📱 TM/WhatsApp: 0905-739-----
Under Licensed Real Estate Broker",4.0,3.0,154.0,"Saint Anthony, Lahug, Cebu City, Cebu, Central Visayas, PHL",Cebu,Cebu,10.33099833,123.90308661,"Alarm, Garage, Playground, Garden, Gym, Lift, Security, Service room, Swimming pool, 24 hours security, Terrace, Water, Smoke detector, Sauna, Roof garden, Integral kitchen, Electricity, Fire exits, Fire alarm, Cctv, Built-in wardrobe, Unfurnished",29729000,,Accommodation | condo | RFO Condovision 2 Storey Unit w/ own Carpark in BE Residences Lahug
https://www.lamudi.com.ph/property/41032-73-434c29520148-42b2-19e92b6-a221-77db,Townhouse For Sale in Cebu,"SOUTH SIDE RESIDENCES

Location: Sitio Bayabas, N. Bacalso St., Mambaling, Cebu City

6 Units Townhouse

Two storey

Be part of exclusive, tight knit communities compose of boutique townhouses that match your unique character and outlook in life. With our Snug and comfortable homes perfect for those starting out, get ready to make a lifestyle statement that’s hard to miss.

ACCESSIBILITY

3 mins to Super Metro

3 mins to Shopwise

3 mins to Lourdes Church

3 mins to UC-Mambaling

5 mins to CIT University

TOWNHOUSE

HOUSE DETAILS:

2-storey townhouse

Lot Area: 65 sqm

Floor Area: 117 sqm

3- Bedrooms (w/ built-in cabinets)

2- toilet and bath

=====

SECOND FLOOR:

Masters Bedroom with own toilet and lot

Bedroom 1&2

Common Toilet and Bath

=====

GROUND FLOOR:

Living, dining, kitchen

1- Powder Room

Service area

Carport

=====

List price: 10,000,000.00
=====

20% Equity/Down payment: 2,000,000.00

Reservation Fee: 70,000.00

=====
Monthly Equity: 160,833.00 in 12 months

=====

80% Remaining Balance thru Bank Financing

Loanable Amount: 8,000,000.00

7% Miscellaneous & Registration fees: 700,000.00

NOTE:

WAVE insurance in full payment 1 month after the full down payment

SPOT List price 200,000.00 discount

SPOT Equity 80,000.00 discount

=======
Please feel free to reach out if you have any questions or need further assistance. 
JEAN AMANCIA 
CONTACT no. +63 917129---- 
Real Estate Broker and Appraiser 
PRC lic. # 0036428",3.0,2.0,117.0,"N Bacalso Ave, Mambaling, Cebu City, Lalawigan ng Cebu, Pilipinas",Cebu,Cebu,10.291426,123.8775551,"Integral kitchen, Built-in wardrobe, Garage, Electricity, Fully fenced, Powder room, Water, Unfurnished",10000000,65.0,Accommodation | house/townhouse | Ready For Occupancy 3-bedroom Townhouse
https://www.lamudi.com.ph/property/41032-73-4550b4f14801-6189-19e84aa-a079-72d2,House For Sale in Gabi,"Rush Sale ‼️ Fully Furnished Bungalow House and Lot in Ajoya Subdivision🏠
-What you see is what you all get! ALL items are included👌
-Just a few mins away from CCLEX Bridge

HOUSE DETAILS:
Corner Lot Bungalow Unit 
Floor area: 42 sqm
Lot area: 134 sqm
2 Bedrooms
1 Toilet and Bath
3 Aircons
3 Televisions
Washing Machine
Refrigerator
Electric Gas Range w/ Oven
w/ CCTV inside the house 
w/ indoor plants
w/ 5 matured tree plants
Mini Garden Patio
Service area

Price: 6M (Net Price)

For Reservation/Inquiries/Site viewing, please me or call/text: 

👤 Jerson S. Rejano
📄 PRC Res. #81 Series of 2024
📄 DHSUD R7 No. A-8/2-1250
📱 Smart/Viber: 0947-867-----
📱 TM/WhatsApp: 0905-739-----
Under Licensed Real Estate Broker",2.0,1.0,42.0,"Quezon National Highway, Gabi, Cordova, Cebu, Central Visayas, PHL",Cordova,Cebu,10.26302043,123.9610447,"24 hours security, Air conditioning, Garage, Built-in wardrobe, Equipped kitchen, Garden, Security, Cctv, Club House, Electricity, Internet, Shops, Water, Wifi, Fully furnished",6000000,134.0,Accommodation | house | Fully Furnished Bungalow House and Lot in Cordova
https://www.lamudi.com.ph/property/41032-73-4929bb369ece-6f79-19e6a01-b7d1-72c7,House For Sale in Pitogo,"PRICE DROP from 9.5M down to 8.5M🔥
🏡 Modern Tropical Bungalow House and Lot for Sale 📍 St. Joseph Heights Subdivision, Dacuscus St., Liloan, Cebu

Own this beautifully designed modern tropical bungalow that offers the perfect blend of comfort, simplicity, and natural elegance. Ideal for families, retirees, or even as an investment property.

✨ PROPERTY DETAILS
 ✔ Ready for Occupancy
✔ Lot Area: 204 sqm
✔ Floor Area: 130 sqm
✔ 3 Bedrooms
✔ 2 Toilet and Bath
✔ 2-Car Parking
✔ Terrace
✔ Fully Fenced
✔ Landscaped Lawn
✔ Brand New
✔ Seamless Indoor-Outdoor Flow
✔ Expansive Sliding Doors leading to the Porch and Lawn

📍 LOCATION ADVANTAGES Located in a peaceful and prime residential area, just a few meters away from Cebu North Road / Central Nautical Highway.
🛣️ Accessible to key destinations: ✔ Public transportation
✔ Liloan town proper
✔ Commercial hubs

🏙️ Nearby Establishments 
📌 SM City Consolacion – Less than 10 minutes away
📌 Mendero Medical Center
📌 Dominican School of Cebu, Inc.
📌 Barangay Halls, Churches, and Shops
📌 Dining options and daily essentials nearby

💡 WHY THIS PROPERTY? 
✔ Excellent location
✔ Close to schools, malls, hospitals, and transport
✔ Perfect for end-users or rental investment
✔ Modern tropical design with relaxing ambiance

Price: ₱8,500,000.00
📌 PAYMENT OPTIONS 
✅ Cash (with discount)
✅ Bank Financing (50% DP, 50% Loanable)
✅ Deferred Cash payable in 12 months


📩 For site viewing and inquiries, contact:
Jerson S. Rejano
Next Level Realty 
PRC Res#81 Series of 2024
DHSUD R7 No. A-8/2-1250
📱 Smart/Viber: 0947867----
📱 TM/WhatsApp: 0905739----
Under Licensed Real Estate Broker",3.0,2.0,138.0,"Dacuscus St, Liloan, Cebu, Pilipinas",Consolacion,Cebu,10.3835398,123.9764546,"Equipped kitchen, Fully fenced, Garden, Integral kitchen, Terrace, Yard, Water, Electricity, Garage, Green area, Multi-purpose lawn, Unfurnished",8500000,204.0,Accommodation | house | Price Drop Bungalow House and Lot in Liloan Cebu
https://www.lamudi.com.ph/property/41032-73-51990f1be1b1-9ed4-19e7465-926b-8040,House For Sale in Banawa,"🔥 𝐎𝐍𝐋𝐘 𝟔 𝐔𝐍𝐈𝐓𝐒 𝐋𝐄𝐅𝐓! 🔥 
𝐇𝐎𝐔𝐒𝐄 𝐀𝐍𝐃 𝐋𝐎𝐓 𝐅𝐎𝐑 𝐒𝐀𝐋𝐄 𝐢𝐧 𝐆𝐎𝐋𝐃𝐄𝐍 𝐋𝐀𝐍𝐄 𝐕𝐈𝐋𝐋𝐀 
📍𝐒𝐢𝐧𝐠𝐬𝐨𝐧 𝐑𝐝., 𝐆𝐮𝐚𝐝𝐚𝐥𝐮𝐩𝐞, 𝐂𝐞𝐛𝐮 𝐂𝐢𝐭𝐲

👌Live in comfort and style in this beautifully designed 2-Storey Single Detached Home perfect for growing families! 🏡✨

🏠House Details:
✅ 4 Bedrooms
✅ 3 Toilet & Bath
✅ 2 Car Garage
✅ Lot Area: 120 sqm
✅ Floor Area: 150.45 sqm

💰 𝐓𝐎𝐓𝐀𝐋 𝐂𝐎𝐍𝐓𝐑𝐀𝐂𝐓 𝐏𝐑𝐈𝐂𝐄: ₱𝟏𝟕,𝟏𝟓𝟗,𝟖𝟒𝟎

📌 PAYMENT SCHEME:
▫️ Reservation Fee – ₱50,000 only
▫️ 10% Downpayment payable up to 20 months
  ➡️ ₱83,299/month
▫️ Bank Loan Balance – ₱15,443,856

📍 Prime location in Guadalupe, Cebu City
✔️ Accessible to schools, malls, hospitals, and business districts
✔️ Peaceful and exclusive community

⚡ Hurry! Limited units available!
📩 MESSAGE ME NOW for site viewing and sample computation!
#houseforsale #HouseAndLotForSale #OFW #cebucity #CebuProperty #SEAMAN #singapore #LuxuryLiving #unitedkingdom #everyonefollowers #usa #norway #canada #japan #australia #korean #dubai #unitedstate #sweden",4.0,3.0,150.0,"Lilac Street, Guadalupe, Cebu City, Cebu, Central Visayas, PHL",Cebu,Cebu,10.32342059,123.8801951,"24 hours security, Balcony, Garage, Electricity, Equipped kitchen, Fully fenced, Garden, Powder room, Security, Shower rooms, Shops, Smoke detector, Water, Wifi, Storage room, Unfurnished",17159840,120.0,"Accommodation | house | For Sale 4-Bedrooms House and Lot with 2 Car Garage in Golden Lane Villa, Guadalupe Cebu City"
https://www.lamudi.com.ph/property/41032-73-5c3434aaecb4-6ffb-19e672e-ae33-7956,Studio For Sale in Cebu IT Park,"【For SALE】 Avida Towers Cebu - Tower 2 Studio  Unit 

Price: 3M Net of Taxes
Layout : Studio (22sqm) 
Floor: 22nd Floor
Location : Within IT Park 
https://maps.app.goo.gl/rZHtj7aWXN6mG----
Unit conditions : Fully furnished 
Move-in date : Ready to move-in 

Unit Details : 
- TV 
- Window Type Aircon
- Bed 
- Dining table with chairs 
- Refrigerator 
- Toilet and Bath 
- Kitchen cabinet 
- Microwave
- Induction Cooker
- Range hood

COMMON AREA & AMENITIES 
- Swimming pool 
- Kiddie pool 
- Kids playground 
- Concierge 
- 24 hours security guard 
- CCTV 

 Lobby Shops on the ground floor 
- SEVEN & ELEVEN 
- LAUNDRY SHOP 
Shops nearby Ayala shopping mall about 2 min to walk  Inside of Ayala shopping mall 
- Supermarket
- Banks 
- Cafes
 - Restaurants
- Pharmacies 
- Money exchanger, etc
 - Banks 2min walk
 - Cebu Business Park about 5 to 7min by car 
- Airport 45 to 60min by car 
- Beach area 60min by car

For more info and unit viewing, please send us a message.",,,22.0,"Avida Towers Riala, Jose Maria del Mar Avenue, Apas, Cebu City, Cebu, Pilipinas",Cebu,Cebu,10.3328036,123.9090696,"24 hours security, Cctv, Concierge, Swimming pool, Fully furnished",3000000,,Accommodation | condo/studio | 【For SALE】 Avida Towers Cebu - Tower 2 Studio  Unit
https://www.lamudi.com.ph/property/41032-73-757e9e135adf-3adc-19e9259-9903-7254,Condo For Sale in Cogon Ramos,"Project Name: City Clou by Golden Topper
Location: 0549 D. Jakosalem St., Cebu City

𝗨𝗻𝗶𝘁 𝗗𝗲𝘁𝗮𝗶𝗹𝘀:
Tower C
Studio Unit (Unit C0807) City View
Floor area: 27 sqm
Bed area
Dining, Kitchen area
Toilet & bath
Balcony

𝗖𝗼𝗺𝗺𝗲𝗿𝗰𝗶𝗮𝗹 𝗕𝗹𝗶𝘀𝘀:
   - 3 floors of Commercial Space
   - Supermarket
   -  Retail Shops
   -  Food Establishments

𝗖𝗼𝗺𝗽𝗹𝗲𝘁𝗲 𝗔𝗺𝗲𝗻𝗶𝘁𝗶𝗲𝘀:
  -  Lap, Kiddie, and Fun Pools
   -  Clubhouse
   -  Game Room
   -  Gym and Fitness Area
   -  Yoga Room and Dance Studio
   -  Meditation Garden
   -  Outdoor Play Area
   -  Karaoke Room
   -  Children’s Playroom
   -  Function Hall
   -  Study Room
𝗕𝗲𝗻𝗲𝗳𝗶𝘁𝘀 𝗳𝗼𝗿 𝗬𝗼𝘂: 
  - Good Return on Investment
   - Free Upgraded Units
   - Perfect Location
𝗔𝗰𝗰𝗲𝘀𝘀𝗶𝗯𝗶𝗹𝗶𝘁𝘆:
   -  Across Sacred Heart Parish
   -  Walking distance to Fuente Osmeña
   -  Minutes from key institutions
   -  Short drive to top hospitals
   -  Close to Business and IT Parks
𝗛𝗮𝘀𝘀𝗹𝗲-𝗙𝗿𝗲𝗲 𝗜𝗻𝘃𝗲𝘀𝘁𝗺𝗲𝗻𝘁:
   - No Hidden Charges
   - Zero Percent Interest
   - Easy Documentation

𝗦𝗮𝗺𝗽𝗹𝗲 𝗤𝘂𝗼𝘁𝗮𝘁𝗶𝗼𝗻: 
Total Contract Price: Php 6,701,306.54 (USD: 111,688.44)
Inclusive of VAT + Other Charges
Reservation Fee: Php 50,000 (USD: 833.33)
10% Spot Equity @ Php 670,130.654
Less: Voucher Discount/2nd Down Payment Php 400,000 (valid only until June 30, 2026) 
LUMPSUM BALANCE Php 220,130.65 (USD:3,688.84) 

Promo comes with free appliances such as aircon, rangehood, water heater, refrigerator, washing machine, induction cooker, rice cooker

90% Balance Loanable Thru Bank Financing: Php 6,031,175.88
Estimated Monthly Amortization
20 years @46,759.64/month (USD: 779.32 @ GMI Php 155,865.47
15 years @ 54,209.91(USD: 903.49) /month @ GMI Php 180,699.70
10 years @ 70,027.07 (USD:1,1167.11)/month @ GMI Php233,423.56

Disclaimer: The price provided in this post is an approximation based on the information available at the time of calculation. The final price and computation is subject to change by the developer.
Hurry schedule a private viewing!
Please book your appointment at least 1 day in advance.
HYWELL V. CARILLO
Licensed Real Estate Broker PRC#20893 Valid Until July 10, 2029
DHSUD CVRFO-B-01-/19-3851 Valid Until December 31, 2026
PTR MC 2232056 Valid Until December 31, 2026 See less",,1.0,27.0,"Jakosalem, Zapatera, Cebu City, Cebu, Central Visayas, PHL",Cebu,Cebu,10.30870415,123.90032112,"24 hours security, Air conditioning, Garage, Playground, Concierge, Electricity, Lift, Garden, Grill, Gym, Panoramic view, Guardhouse, Swimming pool, Water, Partly furnished",6701307,,Accommodation | condo | READY FOR OCCUPANCY STUDIO UNIT IN CITY CLOU CEBU CITY
https://www.lamudi.com.ph/property/41032-73-7c85e33851b8-2ef7-19e86aa-8c46-7847,Condo For Sale in Lahug,"The Median
Location: La Guardia Extension, Lahug

Bedoom: Studio
Toilet & Bath: 1
Floor Area: 21.23 sqm
Monthly Rent: Php 5.5M",1.0,1.0,1.0,"The Median, La Guardia Ext., Cebu City, Lalawigan ng Cebu, Pilipinas",Cebu,Cebu,10.327069,123.9017721,"24 hours security, Gym, Swimming pool, Fully furnished",5500000,,Accommodation | condo | Studio in The Median Lahug
https://www.lamudi.com.ph/property/41032-73-88f645406d9c-7219-19e8442-8d63-7578,Condo For Sale in Lahug,"Marco Polo Residences Tower 2
Location: Lahug, Cebu City

Bedroom: 2
Toilet & Bath: 2
Floor Area: 90 sqm
Monthly Rent: Php 60,000
Sale: Php 14M",2.0,2.0,90.0,"1119 Middle Nivel Hills Rd, Cebu City, 6000 Cebu, Philippines",Cebu,Cebu,10.342605,123.896352,"24 hours security, Gym, Swimming pool, Fully furnished",60000/month,,Accommodation | condo | 2 Bedroom in Marco Polo Residences
https://www.lamudi.com.ph/property/41032-73-a21ef840275e-337a-19e83e7-888c-73f6,Townhouse For Sale in Cebu,"📍 Prime Location Advantage

Conveniently located just after the flyover — turn right and less than 500 meters from the national road.

🔑 HOUSE DETAILS

▪ Lot Area: 96 sqm
▪ Floor Area: 137.32 sqm
▪ 2-Storey House
▪ 4 Bedrooms
▪ 2-Car Carport

💰 TOTAL CONTRACT PRICE: ₱11,919,320
📌 Transfer Fee: ₱953,545.60
📌 Reservation Fee: ₱35,000 only

📋 PAYMENT TERMS

✅ 10% Equity payable in 12 months
✅ 90% Balance through Bank Financing

✨ WHY INVEST HERE?

✔ Ongoing construction development
✔ Prime and accessible location
✔ Ideal for growing families
✔ Strong investment potential
✔ Limited units available

Secure your future home today while the best units are still available. Early reservation means better unit selection and greater investment value.",4.0,3.0,,"Ma. Gochan St, Cebu City, Lalawigan ng Cebu, Pilipinas",Cebu,Cebu,10.2923097,123.8769143,"Drying area, Unfurnished",12872866,96.0,Accommodation | house/townhouse | House
